song,link,lyrics,word_count,unique_word,sia_positive,sia_negative,sia_neutral,sia_compound
!!!!!!!,https://genius.com/Billie-eilish--lyrics,   my invisalign has finally i have taken out my invisalign i have taken out my invisalign and this is the album hahahahahahahahahahaha ahh,23,19,0.0,0.0,1.0,0.0
​bad guy,https://genius.com/Billie-eilish-bad-guy-lyrics, white shirt now red my bloody nose sleepin youre on your tippy toes creepin around like no one knows think youre so criminal bruises on both my knees for you dont say thank you or please i do what i want when im wanting to my soul so cynical   so youre a tough guy like it really rough guy just cant get enough guy chest always so puffed guy im that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type im the bad guy duh  post im the bad guy   i like it when you take control even if you know that you dont own me ill let you play the role ill be your animal my mommy likes to sing along with me but she wont sing this song if she reads all the lyrics shell pity the men i know   so youre a tough guy like it really rough guy just cant get enough guy chest always so puffed guy im that bad type make your mama sad type make your girlfriend mad tight might seduce your dad type im the bad guy duh  post im the bad guy duh im only good at bein bad bad   i like when you get mad i guess im pretty glad that youre alone you said shes scared of me i mean i dont see what she sees but maybe its cause im wearing your cologne   im a bad guy im im a bad guy bad guy bad guy im a bad,259,24,0.101,0.283,0.615,-0.9965
​xanny,https://genius.com/Billie-eilish-xanny-lyrics, what is it about them i must be missing something they just keep doing nothing too intoxicated to be scared better off without them theyre nothing but unstable bring ashtrays to the table and thats about the only thing they share   im in their secondhand smoke still just drinking canned coke i dont need a xanny to feel better on designated drives home only one whos not stoned dont give me a xanny now or ever   can you check your uber rating oh my god and its like wait like when   wakin up at sundown ooh theyre late to every party ooh nobodys ever sorry ooh too inebriated now to dance morning as they come down come down their pretty heads are hurting hurting theyre awfully bad at learning learning make the same mistakes blame circumstance   im in their secondhand smoke still just drinking canned coke i dont need a xanny to feel better on designated drives home only one whos not stoned dont give me a xanny now or ever   please dont try to kiss me on the sidewalk on your cigarette break i cant afford to love someone who isnt dying by mistake in silver lake   what is it about them i must be missing something they just keep doin nothing too intoxicated to be scared hmm hmm hmm mmm mmm mmm mmm come down hurting learning,229,25,0.137,0.151,0.712,-0.5818
​you should see me in a crown,https://genius.com/Billie-eilish-you-should-see-me-in-a-crown-lyrics, bite my tongue bide my time wearing a warning sign wait til the world is mine visions i vandalize cold in my kingdom size fell for these ocean eyes   you should see me in a crown im gonna run this nothing town watch me make em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make em bow one by one by one one by one by one   count my cards watch them fall blood on a marble wall i like the way they all scream tell me which one is worse living or dying first sleeping inside a hearse i dont dream   you say come over baby i think youre pretty im okay im not your baby if you think im pretty   you should see me in a crown im gonna run this nothing town watch me make em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make em bow one by one by one one by one by one  instrumental break   crown im gonna run this nothing town watch me make em bow one by one by one one by one by you should see me in a crown you should see me see me your silence is my favorite sound you should see me see me watch me make em bow one by one by one one by one by one,257,24,0.082,0.038,0.88,0.8948
​all the good girls go to hell,https://genius.com/Billie-eilish-all-the-good-girls-go-to-hell-lyrics, my lucifer is lonely   standing there killing time cant commit to anything but a crime peters on vacation an open invitation animals evidence pearly gates look more like a picket fence once you get inside em got friends but cant invite them  pre hills burn in california my turn to ignore ya dont say i didnt warn ya   all the good girls go to hell cause even god herself has enemies and once the water starts to rise and heavens out of sight shell want the devil on her team  post my lucifer is lonely   look at you needing me you know im not your friend without some greenery walk in wearin fetters peter should know better your cover up is caving in man is such a fool why are we saving him poisoning themselves now begging for our help wow  pre hills burn in california my turn to ignore ya dont say i didnt warn ya   all the good girls go to hell all the good girls go to hell cause even god herself god herself has enemies and once the water starts to rise water starts to rise and heavens out of sight shell want the devil on her team  post my lucifer is lonely theres nothing left to save now my god is gonna owe me theres nothing left to save now   haha i cannot do the snowflake,231,23,0.172,0.265,0.563,-0.9875
​wish you were gay,https://genius.com/Billie-eilish-wish-you-were-gay-lyrics, baby i dont feel so good six words you never understood ill never let you go five words youll never say aww i laugh along like nothings wrong four days has never felt so long if threes a crowd and two was us one slipped away hahahahahahahaha   i just wanna make you feel okay but all you do is look the other way i cant tell you how much i wish i didnt wanna stay i just kinda wish you were gay   is there a reason were not through is there a 12 step just for you our conversations all in blue 11 heys hey hey hey hey ten fingers tearin out my hair nine times you never made it there i ate alone at 7 you were six minutes away yay   how am i supposed to make you feel okay when all you do is walk the other way i cant tell you how much i wish i didnt wanna stay i just kinda wish you were gay   to spare my pride to give your lack of interest an explanation dont say im not your type just say that im not your preferred sexual orientation im so selfish but you make me feel helpless yeah and i cant stand another day stand another day   i just wanna make you feel okay but all you do is look the other way hmm i cant tell you how much i wish i didnt wanna stay i just kinda wish you were gay i just kinda wish you were gay i just kinda wish you were gay,265,28,0.189,0.065,0.745,0.9871
​when the party's over,https://genius.com/Billie-eilish-when-the-partys-over-lyrics, dont you know im no good for you ive learned to lose you cant afford to tore my shirt to stop you bleedin but nothin ever stops you leavin   quiet when im coming home and im on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that   dont you know too much already ill only hurt you if you let me call me friend but keep me closer call me back and ill call you when the partys over   quiet when im coming home and im on my own and i could lie say i like it like that like it like that yeah i could lie say i like it like that like it like that   but nothin is better sometimes once weve both said our goodbyes lets just let it go let me let you go   quiet when im coming home and im on my own i could lie say i like it like that like it like that i could lie say i like it like that like it like that,192,25,0.358,0.072,0.57,0.9972
8,https://genius.com/Billie-eilish-8-lyrics, wait a minute let me finish i know you dont care but can you listen i came committed guess i overdid it wore my heart out on a chain around my neck but now its missin hmm  refrain dadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm   so i think i better go i never really know how to please you youre lookin at me like im seethrough i guess im gonna go i just never know how you feel do you even feel anything  refrain dadadadadadada dadadadadadada oh hmm hmm   you said dont treat me badly but you said it so sadly so i did the best i could not thinkin you would have left me gladly i know youre not sorry why should you be cause who am i to be in love when your love never is for me me  refrain dadadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm   so i think i better go i never really know how to please you youre lookin at me like im seethrough i guess im gonna go i just never know how you feel do you even feel anything,193,24,0.227,0.044,0.729,0.9915
​my strange addiction,https://genius.com/Billie-eilish-my-strange-addiction-lyrics, no billy i havent done that dance since my wife died theres a whole crowd of people out there who need to learn how to do the scarn   dont ask questions you dont wanna know learned my lesson way too long ago to be talkin to you belladonna shoulda taken a break not an oxford comma take what i want when i wanna and i want ya  pre bad bad news one of us is gonna lose im the powder youre the fuse just add some friction   you are my strange addiction you are my strange addiction my doctors cant explain my symptoms or my pain but you are my strange addiction   im really really sorry i think i was just relieved to see that michael scarn got his confidence back yeah michael the movie is amazing its like one of the best movies ive ever seen in my life   deadly fever please dont ever break be my reliever cause i dont self medicate and it burns like a gin and i like it put your lips on my skin and you might ignite it hurts but i know how to hide it kinda like it teh  pre bad bad news one of us is gonna lose im the powder youre the fuse just add some friction   you are my strange addiction you are my strange addiction my doctors cant explain my symptoms or my pain but you are my strange addiction   bite my glass set myself on fire cant you tell im crass cant you tell im wired tell me nothing lasts like i dont know you could kiss my asking about my motto   you should enter it in festivals or carnivals thoughts pretty good reaction pretty cool right   you are my strange addiction you are my strange addiction my doctors cant explain my symptoms or my pain but you are my strange addiction   did you like it did you like that um which part,326,27,0.185,0.158,0.657,0.9589
​bury a friend,https://genius.com/Billie-eilish-bury-a-friend-lyrics,  billie   billie eilish what do you want from me why dont you run from me what are you wondering what do you know why arent you scared of me why do you care for me when we all fall asleep where do we go   billie eilish   come here say it spit it out what is it exactly youre payin is the amount cleanin you out am i satisfactory today im thinkin about the things that are deadly the way im drinkin you down like i wanna drown like i wanna end me  refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me  pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna   billie eilish what do you want from me why dont you run from me what are you wondering what do you know why arent you scared of me why do you care for me when we all fall asleep where do we go   billie eilish   listen keep you in the dark what had you expected me to make you my art and make you a star and get you connected ill meet you in the park ill be calm and collected but we knew right from the start that youd fall apart cause im too expensive its probably somethin that shouldnt be said out loud honestly i thought that i would be dead by now wow calling security keepin my head held down bury the hatchet or bury a friend right now   billie eilish   the debt i owe gotta sell my soul cause i cant say no no i cant say no then my limbs all froze and my eyes wont close and i cant say no i cant say no careful  refrain billie eilish step on the glass staple your tongue ahh bury a friend try to wake up ahahh cannibal class killing the son ahh bury a friend i wanna end me  pre billie eilish i wanna end me i wanna i wanna i wanna end me i wanna i wanna i wanna   billie eilish what do you want from me why dont you run from me what are you wondering what do you know why arent you scared of me why do you care for me when we all fall asleep where do we go,413,25,0.152,0.059,0.789,0.986
