song,link,lyrics
Dreams Money Can Buy,https://genius.com/Drake-dreams-money-can-buy-lyrics,"['[Intro: Jai Paul]', 'Ooh-ooh-ooh, ooh-ooh-ooh-ooh', 'Ooh-ooh-ooh, ooh-ooh-ooh-ooh', 'Ooh-ooh-ooh, ooh-ooh-ooh-ooh', 'Ooh-ooh-ooh, ooh-ooh, ooh-ooh', '', '[Chorus: Jai Paul]', ""Don't fuck with me, don't fuck with me"", ""Don't fuck with me, don't fuck with me"", ""Don't fuck with me, don't fuck with me (Don't)"", '', '[Verse 1: Drake]', 'I got car money, fresh start money', 'I want Saudi money, I want art money', 'I want women to cry and pour out they heart for me', 'And tell me how much they hate it when they apart from me', 'Yeah, and lately I do bitches the meanest', ""Tell 'em I love 'em and don't ever mean it"", 'We go on dates, I send the Maybach out in neighborhoods', 'They never seen it', ""That shit is dangerous, but it's so convenient, I ain't lying"", 'Yeah, and comfortable I sit', ""That manual Ferrari Italia's some fly shit"", ""It's sitting at the house like I bought it in '96"", ""'Cause honestly I'm too fucking busy to drive stick, I swear"", ""Too fucking busy, too busy fuckin'"", ""This nigga girl, but to me she wasn't"", 'Been hot before they open doors for me, pre-heated oven', ""I'm in this ho"", ""But I ain't finished though, it's been a minute though"", 'My newest girl from back home got issues with parents', 'And some charges, how the fuck can I get her to Paris?', ""Luckily, I'm the greatest my country's ever seen"", 'So chances are I get the border to issue me clearance', 'Dreams money can buy', 'Everybody yelled ""Surprise!"", I wasn\'t surprised', ""That's only 'cause I been waiting on it, nigga"", 'So fuck whoever hating on a nigga', 'Of course...', '', '[Chorus]', ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", '', '[Verse 2: Drake]', 'Food from India, she in Charlotte Olympias', 'We talked music for hours, she never mentioned ya', ""Can't tell you how much I love when niggas think they got it"", ""And I love the fact that line made 'em think about it"", 'YMCMB', 'These niggas make it so hard to be friendly', ""When I know part of it's envy"", 'Tryna fill the shoes, nigga, so far, these are empty', ""I take 'em off in the house because the throw carpets are Fendi"", 'Ooh! I never seen the car you claim to drive', ""Or, shit, I seen it; you just ain't inside"", 'And I feel like lately, it went from top five to remaining five', ""My favorite rappers either lost it or they ain't alive"", 'And they tryna bring us down, me, Weezy, and Stunna', 'We stayed up, Christmas lights in the middle of summer', 'And if the girl standing next to me got a fat ass', ""Then I'll probably give her my number"", 'Yeah, I throw my dollars up high', 'And they land on the stage you dance on', 'We got company coming over', 'Would it kill you to put some pants on?', 'Dreams money can buy', ""They told me it's like a high, and it wasn't a lie, yeah"", 'Just have some good pussy waiting on a nigga', 'And fuck whoever hating on a nigga', 'Aw, yeah', '', '[Chorus: Jai Paul]', ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", ""Don't fuck with me, don't fuck with me (Don't)"", '', '[Outro: Jai Paul]', ""Don't"", ""Don't fuck with me, don't fuck with me"", ""Don't""]"
The Motion (Ft.Sampha),https://genius.com/Drake-the-motion-lyrics,"['[Intro: Drake & Sampha]', ""It's not me and you, it's not me it's you"", ""You're reckless and you know it, they don't love you like I do"", ""Say you're moving on, well, I guess that's just the motion"", ""I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", '', '[Verse 1: Drake]', ""I don't have a fuck to give, I've been moving state to state"", ""In my leather and my Timbs like it's 1998"", ""And my dog Chubby Chub, that's my nigga from the way"", ""On the Eastside of the city, that's where everybody stay"", ""Seem like everybody calling 'cause they want me on their song"", ""It's like every time I touch it I could never do no wrong"", ""When they need a favor from you, man, they don't leave you alone"", ""But I guess that's just the motion, yeah"", '', '[Chorus 1: Drake, Drake & Sampha, Sampha]', ""Then that phone doesn't ring"", ""When they got everything, that's the motion"", ""Oh-oh, I guess that's just the motion"", '(Ooh, ooh, ooh, ooh, ooh, ooh)', ""Oh-oh, I guess that's just the motion"", '(Ooh, ooh, ooh, ooh, ooh, ooh)', '', '[Verse 2: Drake]', 'Yeah, looking back on it, at least my pride is intact', '\'Cause we said ""no strings attached"" and I still got tied up in that', 'Everything that I write is either for her or about her', ""So I'm with her even when I'm here without her and she know it"", 'The girl that I wanna save is like a danger to my health', 'Try being with somebody that wanna be somebody else', 'I always thought she was perfect when she was being herself', ""Don't even know how to help, but I guess that's just the motion, yeah"", '', '[Chorus 2: Drake, Drake & Sampha]', ""She'll probably come around"", ""Soon as I settle down, that's the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", '', '[Outro: Drake, Sampha]', 'Nothing less and nothing more', 'I hear your heart hit the floor', ""I guess that's just the motion"", 'Talking to you is not enough, no', 'I guess that’s just the motion', ""Oh-oh, I guess that's just the motion"", ""I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", ""Oh-oh, I guess that's just the motion"", 'Yeah']"
How Bout Now,https://genius.com/Drake-how-bout-now-lyrics,"['[Intro]', ""That's the shit I'm talking 'bout though, like you changed up, you don't even fuckin' link nobody no more, you just dash me away like a cyattie. Yo, you cheesed me dog"", '', '[Verse 1]', 'Always felt like my vision been bigger than the bigger picture', ""Crazy how you gotta wait until it's dark out to see who really with you"", 'Crazy how even when it miss you', ""Shit'll come back around and get you"", 'Crazy like all my niggas, crazy like all my niggas', ""Remember I deleted all my other girls' numbers out the phone for you?"", 'Remember when you had to take the bar exam', 'I drove in the snow for you? Yeah', ""You probably don't remember half the shit a nigga did for you, yeah"", '', '[Chorus]', ""Yeah, you ain't really fuck with me way back then"", ""But how 'bout now? (Now)"", ""'Cause I'm up right now (I'm up right now)"", 'And you stuck right now (Stuck right now)', 'Oh, you thought you had it all figured out back then', ""But how 'bout now? (Now)"", ""'Cause I'm up right now (I'm up right now)"", 'And you stuck right now, yeah (Stuck right now)', 'You thought the little effort that you put in was enough, girl', ""How 'bout now? Yeah"", ""Girl, how 'bout now, how 'bout now, girl?"", ""What about now, girl, how 'bout now?"", '', '[Interlude]', 'My heart belongs to you...', '', '[Verse 2]', ""Yeah, always been daddy's little angel"", 'I bought your dad a bunch of shit for Christmas', ""He ain't even say thank you"", ""I had no money left from actin', I was focused on the music"", 'I used to always try and burn you CDs of my new shit', 'You be like ""who\'s this?"" I be like ""me, girl""', 'You be like ""oh, word, true shit?""', 'Then ask if we could listen to Ludacris', ""Them car rides made me feel like I was losin' it"", ""Yeah, made me feel I ain't have it like that"", 'Or I was average like that', ""Started drinkin' way more than I used to"", 'People form habits like that, girl', 'Yeah, man enough to tell you I was hurt that year', ""I'm not even Christian, I still went to church that year"", 'Guess I just had to pretend that year', ""I ain't even see my friends that year"", ""Places that I should've been"", '', '[Chorus]', ""Yeah, you ain't really fuck with me way back then"", ""But how 'bout now? (Now)"", ""'Cause I'm up right now (I'm up right now)"", 'And you stuck right now (Stuck right now)', 'Oh, you thought you had it all figured out back then', ""Girl, how 'bout now? (Now)"", ""'Cause I'm up right now (I'm up right now)"", 'And you stuck right now, yeah (Stuck right now)', 'You thought the little effort that you put in was enough, girl', ""How 'bout now? Yeah"", ""Girl, how 'bout now, how 'bout now, girl?"", ""What about now, girl, how 'bout now?"", '', '[Outro]', 'My heart belongs to you', ""Whatever you need, there's nothin' I won't do"", ""Whatever you need, there's nothin' I won't do"", ""Whatever you need, there's nothin' I won't do"", ""Whatever you need, there's nothin' I won't do""]"
Trust Issues,https://genius.com/Drake-trust-issues-lyrics,"['[Intro]', 'Uh', 'Aw yeah, aw yeah', ""Call up on drank and let's"", ""Let's call up and, uh"", '', '[Interlude]', ""All I care about is money and the city that I'm from"", ""I'ma sip until I feel it, I'ma smoke it 'til it's done"", ""I don't really give a fuck and my excuse is that I'm young"", ""And I'm only getting older, somebody should've told you"", ""I'm on one (Ayy), fuck it, I'm on one (Yeah)"", ""I said I'm on one, fuck it, I'm on one, a strong one"", 'Two white cups and I got that drink', 'It could be purple, it could be pink', 'Depending on how you mix that shit', ""Money to be got, and I'ma get that shit"", ""'Cause I'm on one, fuck it, I'm on one"", 'Aw yeah, aw yeah', ""You know what I'm"", 'Oh yes, oh yeah', 'Oh yes, oh yeah', 'Uh, oh yes, oh yeah', 'Yeah, uh', '', '[Verse 1]', ""You know what I'm sipping, I'll teach you how to mix it"", ""But you're the only one 'cause I don't trust these bitches"", ""I don't, I don't trust these bitches, they might catch me slipping"", ""So you're the only one, 'cause I don't trust these bitches"", 'They might, they might catch me slipping and put in something different', ""So you're the only one, 'cause I don't trust these bitches"", ""I don't, I don't trust these bitches, they might catch me slipping"", ""So you're the only one"", '', '[Chorus]', 'Oh-woah, trust issues', 'Oh-woah, trust issues', 'Oh-woah, trust issues', 'Oh-woah, woah, woah, woah', '', '[Interlude]', 'Yeah, aw yeah, aw yeah', ""Let's call up on drank and let's all get wasted"", ""On drank and let's all get faded, yeah, uh"", '', '[Verse 2]', 'Drizzy Drake, check me out', ""Coming live from the motherfuckin' North Side"", 'Kick game, run game, run it real good', 'But never ever have my bitches sitting courtside', 'Same nigga that you knew way back when', ""You acting like it's somebody you don't know"", ""Tell me, how the fuck we 'posed to stay friends"", ""When you got a bunch of feelings that you don't show?"", 'I could tell, I could tell, I could tell', ""Certain people don't like me no more"", ""New shit don't excite me no more"", ""Guess that they don't really make 'em like me no more, uh"", ""You can look me in my eyes and see I ain't myself"", ""'Cause if y'all what I created then I hate myself"", ""But still, let them girls in and tell 'em all"", 'Leave them cell phones on the table where we see them', ""I'm all day with it, man, AM to the PM"", 'Niggas hating, I just wish that they would say it when they see him, oh', '', '[Bridge]', ""That's that shit that drives me crazy"", ""And it's all that I've been getting lately"", ""And it's probably why I'm scared to put the time in"", ""Women want to fuck like they're me and I'm them"", ""Looking for some things and I think that I can find 'em in you, in you"", '', '[Chorus]', 'Oh-woah, trust issues', 'Oh-woah, trust issues', 'Oh-woah, trust issues', 'Oh-woah, woah, woah, woah', '', '[Outro]', 'Yeah, aw yeah, aw yeah', ""Let's call up on drank and let's all get wasted"", ""On drank and let's all get faded, yeah"", 'Aw yeah, aw yeah', ""Call up on drank and let's"", ""Let's call up on, uh""]"
Days in the East,https://genius.com/Drake-days-in-the-east-lyrics,"['[Verse 1]', ""Yeah, why you keep askin' me about... (Why?)"", ""She's not here right now, she's not here right now"", 'Why am I the one you wanna get into it with for the drama?', ""I've got a lot to say, and that's the last thing a nigga wanna hear right now"", '', '[Chorus]', ""Spendin' all my days on the east side, oh"", ""Forgettin' who I was on the other side, oh"", ""Young nigga switchin' up the program right now"", 'Tryna put the power in my own hands right now', ""I'm about to ride through the old hood right now"", 'Got too much pride for my own good right now', ""Waitin' on you to give in and hit me up"", 'So I could fall through like old times and hit it up', '', '[Post-Chorus]', ""I'm terrible at invitin' myself, call me over"", 'Those nights when you need someone else, call me over', 'You can be the one to take control, call me over', 'When I get there, you already know, call me', '', '[Verse 2]', ""Why you keep askin' me about... (Why?)"", ""Couple other things I'd rather do than talk about that right now"", ""Told you 'bout givin' him chances on chances on chances"", ""He's not holdin' you down, he's holdin' you back right now"", '', '[Chorus]', ""Spendin' all my days on the east side, oh (Oh, oh-oh-oh)"", ""Forgettin' who I was on the other side, oh"", ""Young nigga switchin' up the program right now"", 'Tryna put the power in my own hands right now', 'Love it when your ass speak the truth to me, oh', 'Tryna wake up and have you with me, oh', ""Waitin' on you to give in and hit me up"", 'So I could fall through like old times and hit it up', '', '[Post-Chorus]', ""I'm terrible at invitin' myself, call me over"", 'Those nights when you need someone else, call me over', 'You can be the one to take control, call me over', 'When I get there, you already know, call me', '', '[Interlude: Drake & Rihanna]', 'Yeah, ayy', 'Yeah', ""I I threw my hands in the air and said show me somethin', yeah"", 'Ayy', '', '[Verse 3]', 'Remember one night I went to Erykah Badu house', 'She made tea for me', 'We talked about love and what life could really be for me', 'She said, ""When that shit is real, you just know""', ""And I was thinkin' 'bout you, you already know"", 'Yeah, the other night Chubbs showed up at my house', 'He had weed for me', ""That my nigga 'til we gone, keep his ear to the streets for me"", 'Said the city stress him out on the low', 'I said, ""I feel you, nigga, I already know""', 'Yeah, already...', 'Girls talkin\' \'bout, ""You gotta leave already?""', ""Damn, my lil' nephew turned four already"", 'Gave you little help, you need more already', 'Damn, you need more already?', '\'Fore you said ""You\'re mine"" I was yours already', '22, had the Bentley four-door already', 'Even as a boy, I was the boy already', 'So you know that that mean pussy galore already', 'Mention other girls, you get insecure already', 'That was in the past, I matured already', 'Fuck them hoes, you got the award already', 'You go to Chanel and get rewards already', 'Know I do this shit for Third Ward already', 'Know I do this shit for H-Town already', 'Already, already, yeah', ""Back up in this thing, it's a go"", 'Had a couple niggas out of pocket, now they know', ""Ain't the first time 'cause I lost you before"", 'Had to get it back, had to get it back', ""Had to pull it back because I know I'm on the road"", ""Had to take you back because I know you're down to roll"", 'If you can get it from me, you can have it, now you know', ""All your friends askin' where you stand with the boy"", 'FaceTime say you got plans for the boy', ""Studyin' your body, that's exams for the boy"", 'Take a flight here, pop a Xan for your boy', 'Waking up in Amsterdam with the boy', ""Long flight home, 'nother Xan for your boy"", 'You would prolly fly out to Japan for the boy', 'You would prolly kill another man for the boy', 'You would prolly...', ""You would prolly lie 'bout it on the stand for your boy"", 'Put the Bible to your right hand for the boy', ""That's why you ain't never gotta worry 'bout the boy"", 'You know you got...', 'You know you got that really good insurance on the boy', 'You just gotta pack a bag and hurry to the boy, yeah', '(Why? Fring)']"
Draft Day,https://genius.com/Drake-draft-day-lyrics,"['[Produced by The Fam; co-produced by Boi-1da]', '', '[Intro]', '(Watch out, watch out)', '(Look out, look out)', '(Watch out, watch out)', 'Yeah', '(Look out, look out)', 'Yeah', '', '[Chorus]', 'Draft day, Johnny Manziel', 'Five years later, how am I the man still?', 'Draft day, A. Wiggins', ""Fuck that other side, bitch, we stay winnin'"", 'Aww man, you know I had to do it for you', 'You know I had to do it for ya', 'Yeah, suits and ties yellin\' out, ""Pay the guys""', 'Man, I had to do it for ya', 'You know I had to do it for ya', 'You know I had to do it for ya', 'Aww man, aww man, aww man', 'Man, you know I had to—', '', '[Verse]', ""Sometimes I laugh with God about how you can't stop me"", ""I'm his darkest angel probably but he still got me"", ""I'm gettin' mine, but still I better lives"", 'And shit I set aside to make sure that my people getting by', 'Brunch with some Qatar royals and my cup is all oil', ""You know it's real when your niggas'll take the fall for you"", ""All loyal so you keep eggin' me on"", ""And we gonna have to crack a shell just to prove to you, you ain't hard-boiled, mm"", 'Last night I tried some raw oysters', ""Man that boy growin' up quick, that boy know he the shit"", ""That boy singin' on every song when he know he can spit"", 'That boy manifested it, that boy knew it was written', 'That boy did it on purpose', ""That boy know that they shittin' on you, and they can't get past you"", ""You should've followed all my moves, you won't realize 'til after"", ""And if I left this shit to chance I would've picked a name like Chance the Rapper"", ""Yeah, no offense 'cause I don't know that nigga"", ""I'm focused on making records and gettin' bigger"", ""Just hits, no misses, that's for the married folk"", ""Tell 'em fix my suite up 'cause I'm comin' home"", 'I heard they talking crazy, I was out of town', ""You know they love to pop all that shit when I'm not around"", ""But when I'm here, not a sound, that'll make me snap, jot it down"", 'Go in the booth and lay a body down', 'Know some Somalis that say we got it Wallahi', ""Get us donuts and coffee, we'll wait for him in the lobby"", 'And I gotta tell him chill, Sprite got me on payroll', 'Let that man live, they say, ""Okay, if you say so""', ""See whatever I say goes, I play like I'm on 'roids, no Canseco"", ""No Oakland A's though, shout out the Bay though"", ""I think I'm on my eighth flow, just watch me paint flow"", 'We all do it for the art so I could never hate though', ""Signin' off on more deals than a lawyer with a heavy case load"", 'How the game turn into the Drake show?', 'Dog, what the fuck happen to so-and-so, where did they go?', ""Too worried 'bout bitches and fashion, they go missin' in action"", ""And then you never notice they missin'"", 'On some Hunger Games shit, I would die for my district', 'Jennifer Lawrence, you can really get it, yeah', 'I mean, for real, girl you know I had to do it for ya', 'You know I had to do it for ya', 'You know I had to— oh, wait, sidebar, left some beat at the end', 'So that all of you fuck niggas could loop it and get your lies off', 'SZN', '', '[Chorus]', 'Draft day, Johnny Manziel', 'Five years later, how am I the man still?', 'Draft day, A. Wiggins', ""Fuck that other side, bitch, we stay winnin'"", 'Aww man, you know I had to do it for you', 'You know I had to do it for ya', 'Yeah, suits and ties yellin\' out, ""Pay the guys""', 'Man, I had to do it for ya', 'You know I had to do it for ya', 'You know I had to do it for ya', 'Aww man, aww man, aww man', 'Man, you know I had to—', '', '[Outro]']"
4PM in Calabasas,https://genius.com/Drake-4pm-in-calabasas-lyrics,"['[Verse]', 'Yeah', 'All you self-promoters are janky', 'We established like the Yankees', ""This whole fuckin' game thankless"", ""We movin' militant but somehow you the one tankin'"", 'No limit to where I can take it', ""And you know me as a Cris' bottle sender, check picker-upper"", 'I thought we looked out for one another', 'Saw us all as brothers in the struggle, too blessed to be humble', ""I guess it's different in the city I come from"", 'All the sudden I got people showing how much they truly resent me', 'They whole demeanor just spells envy, they tryna tempt me', 'The higher I get, the less they accept me', ""Even had the OG's tryna press me, ha-ha-ha, ha"", ""No way out 'cause I'm already in it"", ""I'm not attending when I do a show and get a ticket"", 'Good business can clean millions, I got the vision', 'I been had it since ""No Scrubs"" and ""No Pigeons""', ""Even back when I wasn't as poppin'"", 'When they told me take an R&B nigga on the road', ""And I told 'em no and drew for Kendrick and Rocky"", 'I tried to make the right choices with the world watching', '""Mike never tried to rap like Pac, Pac never tried to sing like Mike""', ""Those my dad's words to me when I asked him how to make it in life"", 'And I always said my mother gave the greatest advice, yeah', 'Look at me now, they look at me like the golden child', ""Can't nobody hold me down"", 'Especially not right now', 'Certain shit is just too wild to reconcile', 'Take that, take that', 'No love in they heart so they fake that', 'DiCaprio level the way they play that', 'Damn, nigga, what is that?', ""Y'all don't hear no songs"", 'They hit my phone like, ""You did that""', 'They even hit my line like, ""Where you been at?""', ""It's always on some shit like"", '""When can I get a favor?"" or, ""Where my bitch at?""', ""Like I'm about to tell you where she been at"", 'Costa Careyes, I got her kidnapped', ""She ain't sorry and I ain't sorry, it's too late for sorry"", ""Green, white, and red on my body 'cause I'm dipped in Ferrari"", 'All she wanna do is get high and listen to PARTY', 'She complain, I tell the driver to drop her at Barneys', 'My summer diet is just Rosé and calamari', 'Look, now you got me started', ""I'm the black sheep, rest in peace to Chris Farley"", ""I got a lot to lose 'cause in every situation I'm the bigger artist"", 'Always gotta play it smarter', ""Y'all shook up, I'm here on the cookup"", 'Cameras pointing every time I look up', ""That's why I gotta duck behind Chubb's shoulder just to hit the kush up"", 'Sponsorship dollars is sky high', 'He be like, ""Drake, will you please stop smoking la-la?""', ""Chubbs, why try? I'm a thug, I'ma die high"", ""Got the rose pink tinted lenses, it's a Wednesday"", ""Architects takin' dimensions, they redoin' the entrance"", ""Yeah, redoin' the entrance"", 'Kinda like when you niggas drop on some again and again shit', 'And you still never quite get it', 'Meantime, Drizzy over there, tryna make you, make you dance to this', 'Yeah, I make you dance to this', 'I roll big body, wide body, Calabasas road winder', ""Sun shinin', waxed tires"", 'See Kris Jenner, I beep twice and I wave', 'The rest of you boys, I blow Keeks right in your face', ""Pistol by my bed, I'm sleep, but I'm awake"", 'For that one night when niggas try reach inside my safe', ""Don't push me 'cause I'm way too uneasy nowadays"", 'These guys move so greezy nowadays', ""I tell you my life and y'all don't believe me when I say it"", 'Save my stories for down the line', ""I'm too ahead of the curve every time"", 'Just total the hits and see what you find, you SWV', ""'Cause you weak and I'm always, always on your mind"", '', '[Outro]', ""Yeah, and we can't stop"", 'Make you dance to this, uh', ""I'ma make you One Dance to this"", 'A-ha-ha-ha, ha', 'Bod breed, bod bwoi', 'Uh-huh, yeah', ""That's right, yeah""]"
5 AM in Toronto,https://genius.com/Drake-5-am-in-toronto-lyrics,"['[Intro]', 'Yeah', 'This on some old Tommy Campos Dice Raw shit, you know?', 'For my niggas, though', '', '[Verse]', 'Uh, you underestimated greatly', 'Most number ones ever, how long did it really take me?', 'The part I love most is they need me more than they hate me', 'So they never take shots, I got everybody on safety', 'I could load every gun with bullets that fire backwards', ""Probably wouldn't lose a single rapper"", ""Niggas make threats, can't hear 'em over the laughter"", ""Yeah, that's 'cause I'm headed to the bank, nigga"", ""Sinatra lifestyle, I'm just bein' frank with ya"", ""I mean, where you think she at when she ain't with ya?"", ""Wildin', doin' shit that's way out of your budget"", 'Owl sweaters inside her luggage, you gotta love it', 'Damn, this shit could go on a tape', ""Bitches lovin' my drive, I never give it a break"", 'Give these niggas the look, the verse, and even the hook', ""That's why every song sound like Drake featurin' Drake"", 'Str8, Y pree? Why is it always me?', ""Got us watchin' our words like it's wiretaps on the team"", ""'Cause I show love, never get the same outta niggas"", ""Guess it's funny how money can make change outta niggas"", ""For real, some nobody started feelin' himself"", ""A couple somebodies started killin' themself"", 'A couple albums dropped, those are still on the shelf', ""I bet them shits would have popped if I was willin' to help"", 'I got a gold trophy from the committee for validation', 'Bad press during the summer over allegations', ""I ain't lyin', my nigga, my time is money"", ""That's why I ain't got time for a nigga whose time is coming"", ""A lot of niggas PR stuntin' like that's the movement"", ""And I'm the only nigga still known for the music, I swear"", 'Fuck them niggas this year, I made Forbes list, nigga', ""Fuck your list, everything's lookin' gorgeous"", 'Without me, rap is just a bunch of orphans', 'But if I stay, then this shit is a bunch of corpses', 'And me and my dread nigga from New Orleans', ""Stashin' money like hoarders off multi-platinum recordings"", ""Eatin' like I’m seated at Swish, Sotto, and Joso's"", 'Nothing Was The Same, this shit for Ezee and Coco', 'This shit for Karim, this shit for Jaevon', 'This shit for Julius, Milly Mill, boy, we do this shit for real', 'All them boys in my will, all them boys is my Wills', 'Anything happen to pop, then I got you like Uncle Phil', 'Weezy been on that edge, you niggas just need to chill', 'If anything happen to Papi, might pop a nigga for real', ""Comin' live from the screwface, livin' out a suitcase"", ""But I'm feelin' good, Johnny got me pushin' two plates"", 'My weight up, I refused to wait up, I started a new race', ""It's funny when you think a nigga blew up after Lupe"", ""Niggas treat me like I've been here for 10"", 'Some niggas been here for a couple, never been here again', ""I'm on my King James shit, I'm tryna win here again"", ""A young nigga tryna win here again, man, what's up?"", '', '[Outro]', ""Ayy, yeah, a young nigga tryin' to win here again"", ""If I like her, I just fly her to the city I'm in"", ""I got her drinkin' with your boy"", 'I got her fucked up, shorty, aww yeah']"
I Get Lonely,https://genius.com/Drake-i-get-lonely-lyrics,"['[Verse 1]', 'Waited on you for so long', 'Too many days since January', ""I'm still sitting here alone"", ""We should've did this already"", 'Said I got a email today', 'Kind of thought that you forgot about me', 'But I wanna hit you back to say', 'Just like you, I get lonely', '', '[Chorus]', 'Baby, I could really get to know you', 'Take my time and show you', ""Don't tell anybody what we do"", 'When I get lonely', ""Take me to another place where I'll be"", 'Face to face, just you and me with no rules', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely', '', '[Verse 2]', 'Ready for us to get it on', ""Ain't got a love to call steady"", ""Hope it ain't like that for long"", ""I'll be your friend if you let me"", ""Don't wanna come on strong"", ""'Cause too many people wanna get me"", 'But you know I do what I gotta do', 'Just like you, I get lonely', '', '[Chorus]', 'Baby, I could really get to know you', 'Take my time and show you', ""Don't tell anybody what we do"", 'When I get lonely', ""Take me to another place where I'll be"", 'Face to face, just you and me with no rules', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely', 'Ha, ha, ha, ha, ha, ha', 'Ha, ha, ha, ha, ha, ha', 'I get lonely too', 'Ha, ha, ha, ha, ha, ha', 'Ha, ha, ha, ha, ha, ha', 'Baby, I could really get to know you', 'Take my time and show you', ""Don't tell anybody what we do"", 'When I get lonely', ""Take me to another place where I'll be"", 'Face to face, just you and me with no rules', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely too', 'Ooh, ooh, oh, oh, oh, oh, oh, oh', 'Just like you, I get lonely', '', '[Outro]', 'I get lonely', 'I get lonely', 'Just like you']"
My Side,https://genius.com/Drake-my-side-lyrics,"['[Intro]', ""Yeah, that's about it"", 'This shit sound like what being rich feel like, fo real', ""This life shit is everywhere, you can't control it"", 'Too much going on', 'Too much, too much, too much', 'Too much, too much, too much', 'You, you, you', 'Make me wanna take you down through there', 'Make me wanna take you down through there', ""I'll take it there"", '', '[Chorus 1]', 'Why you never come to where I stay?', 'Always hiding out in your New York condo', 'Why you never come to where I stay?', 'If anybody knows, girl, you know, I know', 'Why are we wasting our relationship on a relationship?', ""Why are we rushing and forcing it?—this isn't making sense"", 'Why are we focused on things', ""That don't even mean nothing, girl?"", 'Why can we not find the time', 'And sit down and discuss it, girl?', 'Let me at least tell you my side of things, man', 'Aw, man, aw, man, aw, man', '', '[Verse]', 'Me and you are playing house', ""Start thinking that I'm losing touch"", 'Got a tight grip on you now', 'Maybe I should loosen up', 'When I leave you and I go home', 'I start forgetting what it is', 'Start to think I got to get it how I live', 'We too busy for a wedding or a kid', ""If I'm working then I know you working"", 'Keep in touch with other women', ""'Cause you make me nervous"", ""I empower girls that don't deserve it"", ""I don't mean to do that shit on purpose"", ""It's just that when I go home"", 'I start forgetting what it is', 'The dream is over, I get lost up in the 6', '', '[Chorus 2]', ""And you don't ever come to where I stay at"", 'You just rather stay up in your New York condo', ""You don't ever come to where I stay at"", 'If anybody knows, girl you know, I know', 'Why are we wasting our relationship on a relationship?', 'You know how sticky these situations get', 'You go up higher than me some days', 'You know what I think we could be some day', 'Let me at least show you my side of things, man', 'Aw, man, aw, man, aw, man']"
